Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
147,315,105,3,2,2.5,8.48,0,Media
148,326,114,3,3,3,9.11,1,Alta
149,339,116,4,4,3.5,9.8,1,Muy alta
150,311,106,2,3.5,3,8.26,1,Alta
151,334,114,4,4,4,9.43,1,Muy alta
152,332,116,5,5,5,9.28,1,Muy alta
153,321,112,5,5,5,9.06,1,Alta
154,324,105,3,3,4,8.75,0,Alta
155,326,108,3,3,3.5,8.89,0,Alta
156,312,109,3,3,3,8.69,0,Alta
157,315,105,3,2,2.5,8.34,0,Media
158,309,104,2,2,2.5,8.26,0,Media
159,306,106,2,2,2.5,8.14,0,Media
160,297,100,1,1.5,2,7.9,0,Baja
161,315,103,1,1.5,2,7.86,0,Baja
162,298,99,1,1.5,3,7.46,0,Baja
163,318,109,3,3,3,8.5,0,Media
164,317,105,3,3.5,3,8.56,0,Media
165,329,111,4,4.5,4,9.01,1,Alta
166,322,110,5,4.5,4,8.97,0,Alta
167,302,102,3,3.5,5,8.33,0,Media
168,313,102,3,2,3,8.27,0,Media
169,293,97,2,2,4,7.8,1,Media
170,311,99,2,2.5,3,7.98,0,Media
171,312,101,2,2.5,3.5,8.04,1,Media
172,334,117,5,4,4.5,9.07,1,Alta
173,322,110,4,4,5,9.13,1,Alta
174,323,113,4,4,4.5,9.23,1,Alta
175,321,111,4,4,4,8.97,1,Alta
176,320,111,4,4.5,3.5,8.87,1,Alta
177,329,119,4,4.5,4.5,9.16,1,Muy alta
178,319,110,3,3.5,3.5,9.04,0,Alta
179,309,108,3,2.5,3,8.12,0,Media
180,307,102,3,3,3,8.27,0,Media
181,300,104,3,3.5,3,8.16,0,Media
182,305,107,2,2.5,2.5,8.42,0,Media
183,299,100,2,3,3.5,7.88,0,Media
184,314,110,3,4,4,8.8,0,Media
185,316,106,2,2.5,4,8.32,0,Media
186,327,113,4,4.5,4.5,9.11,1,Alta
187,317,107,3,3.5,3,8.68,1,Alta
188,335,118,5,4.5,3.5,9.44,1,Muy alta
189,331,115,5,4.5,3.5,9.36,1,Muy alta
190,324,112,5,5,5,9.08,1,Alta
191,324,111,5,4.5,4,9.16,1,Muy alta
192,323,110,5,4,5,8.98,1,Alta
193,322,114,5,4.5,4,8.94,1,Alta
194,336,118,5,4.5,5,9.53,1,Muy alta
195,316,109,3,3.5,3,8.76,0,Alta
196,307,107,2,3,3.5,8.52,1,Alta
197,306,105,2,3,2.5,8.26,0,Media
198,310,106,2,3.5,2.5,8.33,0,Media
199,311,104,3,4.5,4.5,8.43,0,Media
200,313,107,3,4,4.5,8.69,0,Media
201,317,103,3,2.5,3,8.54,1,Media
202,315,110,2,3.5,3,8.46,1,Media
203,340,120,5,4.5,4.5,9.91,1,Muy alta
204,334,120,5,4,5,9.87,1,Muy alta
205,298,105,3,3.5,4,8.54,0,Media
206,295,99,2,2.5,3,7.65,0,Baja
207,315,99,2,3.5,3,7.89,0,Media
208,310,102,3,3.5,4,8.02,1,Media
209,305,106,2,3,3,8.16,0,Media
210,301,104,3,3.5,4,8.12,1,Media
211,325,108,4,4.5,4,9.06,1,Alta
212,328,110,4,5,4,9.14,1,Alta
213,338,120,4,5,5,9.66,1,Muy alta
214,333,119,5,5,4.5,9.78,1,Muy alta
215,331,117,4,4.5,5,9.42,1,Muy alta
216,330,116,5,5,4.5,9.36,1,Muy alta
217,322,112,4,4.5,4.5,9.26,1,Muy alta
218,321,109,4,4,4,9.13,1,Alta
219,324,110,4,3,3.5,8.97,1,Alta
220,312,104,3,3.5,3.5,8.42,0,Media
221,313,103,3,4,4,8.75,0,Alta
222,316,110,3,3.5,4,8.56,0,Media
223,324,113,4,4.5,4,8.79,0,Alta
224,308,109,2,3,4,8.45,0,Media
225,305,105,2,3,2,8.23,0,Media
226,296,99,2,2.5,2.5,8.03,0,Media
227,306,110,2,3.5,4,8.45,0,Media
228,312,110,2,3.5,3,8.53,0,Media
229,318,112,3,4,3.5,8.67,0,Media
230,324,111,4,3,3,9.01,1,Alta
231,313,104,3,4,4.5,8.65,0,Media
232,319,106,3,3.5,2.5,8.33,1,Media
233,312,107,2,2.5,3.5,8.27,0,Media
234,304,100,2,2.5,3.5,8.07,0,Media
235,330,113,5,5,4,9.31,1,Muy alta
236,326,111,5,4.5,4,9.23,1,Alta
237,325,112,4,4,4.5,9.17,1,Alta
238,329,114,5,4.5,5,9.19,1,Alta
239,310,104,3,2,3.5,8.37,0,Media
240,299,100,1,1.5,2,7.89,0,Baja
241,296,101,1,2.5,3,7.68,0,Baja
242,317,103,2,2.5,2,8.15,0,Media
243,324,115,3,3.5,3,8.76,1,Media
244,325,114,3,3.5,3,9.04,1,Alta
245,314,107,2,2.5,4,8.56,0,Media
246,328,110,4,4,2.5,9.02,1,Alta
247,316,105,3,3,3.5,8.73,0,Media
248,311,104,2,2.5,3.5,8.48,0,Media
249,324,110,3,3.5,4,8.87,1,Alta
250,321,111,3,3.5,4,8.83,1,Alta
251,320,104,3,3,2.5,8.57,1,Media
252,316,99,2,2.5,3,9,0,Media
253,318,100,2,2.5,3.5,8.54,1,Media
254,335,115,4,4.5,4.5,9.68,1,Muy alta
255,321,114,4,4,5,9.12,0,Alta
256,307,110,4,4,4.5,8.37,0,Alta
257,309,99,3,4,4,8.56,0,Alta
258,324,100,3,4,5,8.64,1,Alta
259,326,102,4,5,5,8.76,1,Alta
260,331,119,4,5,4.5,9.34,1,Muy alta
261,327,108,5,5,3.5,9.13,1,Alta
262,312,104,3,3.5,4,8.09,0,Media
263,308,103,2,2.5,4,8.36,1,Media
264,324,111,3,2.5,1.5,8.79,1,Media
265,325,110,2,3,2.5,8.76,1,Media
266,313,102,3,2.5,2.5,8.68,0,Media
267,312,105,2,2,2.5,8.45,0,Media
268,314,107,3,3,3.5,8.17,1,Media
269,327,113,4,4.5,5,9.14,0,Alta
270,308,108,4,4.5,5,8.34,0,Alta
271,306,105,2,2.5,3,8.22,1,Media
272,299,96,2,1.5,2,7.86,0,Baja
273,294,95,1,1.5,1.5,7.64,0,Baja
274,312,99,1,1,1.5,8.01,1,Baja
275,315,100,1,2,2.5,7.95,0,Baja
276,322,110,3,3.5,3,8.96,1,Alta
277,329,113,5,5,4.5,9.45,1,Alta
278,320,101,2,2.5,3,8.62,0,Media
279,308,103,2,3,3.5,8.49,0,Media
280,304,102,2,3,4,8.73,0,Media
281,311,102,3,4.5,4,8.64,1,Media
282,317,110,3,4,4.5,9.11,1,Alta
283,312,106,3,4,3.5,8.79,1,Alta
284,321,111,3,2.5,3,8.9,1,Alta
285,340,112,4,5,4.5,9.66,1,Muy alta
286,331,116,5,4,4,9.26,1,Muy alta
287,336,118,5,4.5,4,9.19,1,Muy alta
288,324,114,5,5,4.5,9.08,1,Alta
289,314,104,4,5,5,9.02,0,Alta
290,313,109,3,4,3.5,9,0,Alta
291,307,105,2,2.5,3,7.65,0,Baja
292,300,102,2,1.5,2,7.87,0,Baja
293,302,99,2,1,2,7.97,0,Baja
294,312,98,1,3.5,3,8.18,1,Media
295,316,101,2,2.5,2,8.32,1,Media
296,317,100,2,3,2.5,8.57,0,Media
297,310,107,3,3.5,3.5,8.67,0,Alta
298,320,120,3,4,4.5,9.11,0,Alta
299,330,114,3,4.5,4.5,9.24,1,Muy alta
300,305,112,3,3,3.5,8.65,0,Media
301,309,106,2,2.5,2.5,8,0,Media
302,319,108,2,2.5,3,8.76,0,Media
303,322,105,2,3,3,8.45,1,Media
304,323,107,3,3.5,3.5,8.55,1,Media
305,313,106,2,2.5,2,8.43,0,Media
306,321,109,3,3.5,3.5,8.8,1,Media
307,323,110,3,4,3.5,9.1,1,Alta
308,325,112,4,4,4,9,1,Alta
309,312,108,3,3.5,3,8.53,0,Media
310,308,110,4,3.5,3,8.6,0,Media
311,320,104,3,3,3.5,8.74,1,Alta
312,328,108,4,4.5,4,9.18,1,Alta
313,311,107,4,4.5,4.5,9,1,Alta
314,301,100,3,3.5,3,8.04,0,Media
315,305,105,2,3,4,8.13,0,Media
316,308,104,2,2.5,3,8.07,0,Media
317,298,101,2,1.5,2,7.86,0,Baja
318,300,99,1,1,2.5,8.01,0,Baja
319,324,111,3,2.5,2,8.8,1,Alta
320,327,113,4,3.5,3,8.69,1,Alta
321,317,106,3,4,3.5,8.5,1,Media
322,323,104,3,4,4,8.44,1,Media
323,314,107,2,2.5,4,8.27,0,Media
324,305,102,2,2,2.5,8.18,0,Media
325,315,104,3,3,2.5,8.33,0,Media
326,326,116,3,3.5,4,9.14,1,Alta
327,299,100,3,2,2,8.02,0,Media
328,295,101,2,2.5,2,7.86,0,Media
329,324,112,4,4,3.5,8.77,1,Alta
330,297,96,2,2.5,1.5,7.89,0,Baja
331,327,113,3,3.5,3,8.66,1,Alta
332,311,105,2,3,2,8.12,1,Media
333,308,106,3,3.5,2.5,8.21,1,Media
334,319,108,3,3,3.5,8.54,1,Media
335,312,107,4,4.5,4,8.65,1,Media
336,325,111,4,4,4.5,9.11,1,Alta
337,319,110,3,3,2.5,8.79,0,Media
338,332,118,5,5,5,9.47,1,Muy alta
339,323,108,5,4,4,8.74,1,Alta
340,324,107,5,3.5,4,8.66,1,Alta
341,312,107,3,3,3,8.46,1,Media
342,326,110,3,3.5,3.5,8.76,1,Alta
343,308,106,3,3,3,8.24,0,Baja
344,305,103,2,2.5,3.5,8.13,0,Baja
345,295,96,2,1.5,2,7.34,0,Baja
346,316,98,1,1.5,2,7.43,0,Baja
347,304,97,2,1.5,2,7.64,0,Baja
348,299,94,1,1,1,7.34,0,Baja
349,302,99,1,2,2,7.25,0,Baja
350,313,101,3,2.5,3,8.04,0,Media
351,318,107,3,3,3.5,8.27,1,Media
352,325,110,4,3.5,4,8.67,1,Media
353,303,100,2,3,3.5,8.06,1,Media
354,300,102,3,3.5,2.5,8.17,0,Media
355,297,98,2,2.5,3,7.67,0,Baja
356,317,106,2,2,3.5,8.12,0,Media
357,327,109,3,3.5,4,8.77,1,Alta
358,301,104,2,3.5,3.5,7.89,1,Media
359,314,105,2,2.5,2,7.64,0,Media
360,321,107,2,2,1.5,8.44,0,Alta
361,322,110,3,4,5,8.64,1,Alta
362,334,116,4,4,3.5,9.54,1,Muy alta
363,338,115,5,4.5,5,9.23,1,Muy alta
364,306,103,2,2.5,3,8.36,0,Media
365,313,102,3,3.5,4,8.9,1,Alta
366,330,114,4,4.5,3,9.17,1,Alta
367,320,104,3,3.5,4.5,8.34,1,Media
368,311,98,1,1,2.5,7.46,0,Baja
369,298,92,1,2,2,7.88,0,Baja
370,301,98,1,2,3,8.03,1,Media
371,310,103,2,2.5,2.5,8.24,0,Media
372,324,110,3,3.5,3,9.22,1,Alta
373,336,119,4,4.5,4,9.62,1,Muy alta
374,321,109,3,3,3,8.54,1,Alta
375,315,105,2,2,2.5,7.65,0,Muy baja
376,304,101,2,2,2.5,7.66,0,Muy baja
377,297,96,2,2.5,2,7.43,0,Muy baja
378,290,100,1,1.5,2,7.56,0,Baja
379,303,98,1,2,2.5,7.65,0,Baja
380,311,99,1,2.5,3,8.43,1,Media
381,322,104,3,3.5,4,8.84,1,Alta
382,319,105,3,3,3.5,8.67,1,Media
383,324,110,4,4.5,4,9.15,1,Alta
384,300,100,3,3,3.5,8.26,0,Media
385,340,113,4,5,5,9.74,1,Muy alta
386,335,117,5,5,5,9.82,1,Muy alta
387,302,101,2,2.5,3.5,7.96,0,Baja
388,307,105,2,2,3.5,8.1,0,Baja
389,296,97,2,1.5,2,7.8,0,Baja
390,320,108,3,3.5,4,8.44,1,Alta
391,314,102,2,2,2.5,8.24,0,Media
392,318,106,3,2,3,8.65,0,Media
393,326,112,4,4,3.5,9.12,1,Alta
394,317,104,2,3,3,8.76,0,Alta
395,329,111,4,4.5,4,9.23,1,Alta
396,324,110,3,3.5,3.5,9.04,1,Alta
397,325,107,3,3,3.5,9.11,1,Alta
398,330,116,4,5,4.5,9.45,1,Muy alta
399,312,103,3,3.5,4,8.78,0,Media
400,333,117,4,5,4,9.66,1,Muy alta
